Labels,Title,State,Date,URL,Author
,rtc: Implement real time clock interfaces in new format,open,2016-10-13,https://github.com/openbmc/openbmc/issues/668,geissonator
,getvpd: OpenPower VPD into new inventory structures,open,2016-10-13,https://github.com/openbmc/openbmc/issues/667,geissonator
,getvpd: IPMI VPD into new inventory structures,open,2016-10-13,https://github.com/openbmc/openbmc/issues/666,geissonator
,getvpd: FRU VPD into new inventory structures,open,2016-10-13,https://github.com/openbmc/openbmc/issues/665,geissonator
Epic,Witherspoon Mfg Stage 2,open,2016-10-13,https://github.com/openbmc/openbmc/issues/664,williamspatrick
duplicate,"[Barreleye VERSION=""v1.99.0-170""] Unable to clear network override setting using ipmi",closed,2016-10-13,https://github.com/openbmc/openbmc/issues/663,rahulmah
,Witherspoon: Kernel is not getting updated after code update,closed,2016-10-12,https://github.com/openbmc/openbmc/issues/662,yadlapati
prio_high,"[Barreleye VERSION=""v1.99.0-170""]  BMC failed to boot to BMC_READY",closed,2016-10-12,https://github.com/openbmc/openbmc/issues/661,gkeishin
enhancement,Feature: Fan speed toggling based on the need,open,2016-10-12,https://github.com/openbmc/openbmc/issues/660,sivassrr
,"[Barreleye VERSION=""v1.99.0-169""]  IPv6 DHCP client ?",open,2016-10-12,https://github.com/openbmc/openbmc/issues/659,gkeishin
,"[Barreleye VERSION=""v1.99.0-169""] obmc-console-client: Can't connect to console server: Connection refused",closed,2016-10-12,https://github.com/openbmc/openbmc/issues/658,gkeishin
observation,"[Barreleye VERSION=""v1.99.0-169""]  Discover system throws DBus.Error.ServiceUnknown",closed,2016-10-12,https://github.com/openbmc/openbmc/issues/657,gkeishin
,gtest: Move from SDK and into repositories.,open,2016-10-12,https://github.com/openbmc/openbmc/issues/656,williamspatrick
,Kernel driver for AST2500 ADC,open,2016-10-10,https://github.com/openbmc/openbmc/issues/655,GHF
,Need device driver for RX8900CE RTC,closed,2016-10-07,https://github.com/openbmc/openbmc/issues/654,spinler
,Need device driver for ucd90160 power sequencer chip,closed,2016-10-07,https://github.com/openbmc/openbmc/issues/653,spinler
,Need fully functional MAX31785 fan controller device driver,open,2016-10-07,https://github.com/openbmc/openbmc/issues/652,spinler
,Need PMBUS Power Supply device driver,open,2016-10-07,https://github.com/openbmc/openbmc/issues/651,spinler
prio_high,Execute CFAM to boot witherspoon,open,2016-10-06,https://github.com/openbmc/openbmc/issues/650,geissonator
